date,home_team,away_team,whoscored_id,understat_id,league,season
2024-08-19 19:30:00,Villarreal,Atletico Madrid,1821433,26991,ESP-La Liga,24-25
2024-08-25 19:30:00,Atletico Madrid,Girona,1821438,27001,ESP-La Liga,24-25
2024-08-28 19:30:00,Atletico Madrid,Espanyol,1825692,27009,ESP-La Liga,24-25
2024-08-31 17:00:00,Athletic Club,Atletico Madrid,1821456,27013,ESP-La Liga,24-25
2024-09-15 19:00:00,Atletico Madrid,Valencia,1821465,27023,ESP-La Liga,24-25
2024-09-22 19:00:00,Rayo Vallecano,Atletico Madrid,1821478,27036,ESP-La Liga,24-25
2024-09-26 19:00:00,Celta Vigo,Atletico Madrid,1821488,27048,ESP-La Liga,24-25
2024-09-29 19:00:00,Atletico Madrid,Real Madrid,1821493,27053,ESP-La Liga,24-25
2024-10-06 19:00:00,Real Sociedad,Atletico Madrid,1821513,27067,ESP-La Liga,24-25
2024-10-20 14:15:00,Atletico Madrid,Leganes,1821517,27073,ESP-La Liga,24-25
2024-10-27 17:30:00,Real Betis,Atletico Madrid,1821528,27084,ESP-La Liga,24-25
2024-11-03 13:00:00,Atletico Madrid,Las Palmas,1821536,27093,ESP-La Liga,24-25
2024-11-10 15:15:00,Mallorca,Atletico Madrid,1821548,27107,ESP-La Liga,24-25
2024-11-23 15:15:00,Atletico Madrid,Deportivo Alaves,1821561,27120,ESP-La Liga,24-25
2024-11-30 20:00:00,Real Valladolid,Atletico Madrid,1821575,27126,ESP-La Liga,24-25
2024-12-08 20:00:00,Atletico Madrid,Sevilla,1821585,27135,ESP-La Liga,24-25
2024-12-15 13:00:00,Atletico Madrid,Getafe,1821568,27142,ESP-La Liga,24-25
2024-12-21 20:00:00,Barcelona,Atletico Madrid,1821603,27160,ESP-La Liga,24-25
2025-01-12 15:15:00,Atletico Madrid,Osasuna,1821592,27163,ESP-La Liga,24-25
2025-01-18 15:15:00,Leganes,Atletico Madrid,1821610,27176,ESP-La Liga,24-25
2025-01-25 15:15:00,Atletico Madrid,Villarreal,1821620,27183,ESP-La Liga,24-25
2025-02-01 17:30:00,Atletico Madrid,Mallorca,1821631,27192,ESP-La Liga,24-25
2025-02-08 20:00:00,Real Madrid,Atletico Madrid,1821619,27205,ESP-La Liga,24-25
2025-02-15 17:30:00,Atletico Madrid,Celta Vigo,1821643,27212,ESP-La Liga,24-25
2025-02-22 17:30:00,Valencia,Atletico Madrid,1821655,27225,ESP-La Liga,24-25
2025-03-01 20:00:00,Atletico Madrid,Athletic Club,1821665,27236,ESP-La Liga,24-25
2025-03-09 13:00:00,Getafe,Atletico Madrid,1821701,27250,ESP-La Liga,24-25
2025-03-16 20:00:00,Atletico Madrid,Barcelona,1821703,27252,ESP-La Liga,24-25
2025-03-29 15:15:00,Espanyol,Atletico Madrid,1825719,27262,ESP-La Liga,24-25
2025-04-06 14:15:00,Sevilla,Atletico Madrid,1821681,27277,ESP-La Liga,24-25
2025-04-14 19:00:00,Atletico Madrid,Real Valladolid,1821686,27284,ESP-La Liga,24-25
2025-04-19 19:00:00,Las Palmas,Atletico Madrid,1821722,27295,ESP-La Liga,24-25
2025-04-24 19:30:00,Atletico Madrid,Rayo Vallecano,1821734,27304,ESP-La Liga,24-25
2025-05-03 12:00:00,Deportivo Alaves,Atletico Madrid,1821745,27314,ESP-La Liga,24-25
2025-05-10 19:00:00,Atletico Madrid,Real Sociedad,1821718,27323,ESP-La Liga,24-25
2025-05-15 17:00:00,Osasuna,Atletico Madrid,1821753,27335,ESP-La Liga,24-25
2025-05-18 17:00:00,Atletico Madrid,Real Betis,1821760,27342,ESP-La Liga,24-25
2025-05-25 12:00:00,Girona,Atletico Madrid,1821774,27358,ESP-La Liga,24-25
