league,season,game,team,player,league_id,season_id,game_id,date,shot_id,team_id,player_id,assist_player_id,assist_player,xg,location_x,location_y,minute,body_part,situation,result,x,y,is_goal,shot_body_part
ESP-La Liga,2526,2025-09-14 Barcelona-Valencia,Barcelona,Robert Lewandowski,4,2025,29194,2025-09-14 19:00:00,642629,148,227,738037,Dani Olmo,0.48406875133514404,0.865999984741211,0.4640000152587891,75,Right Foot,Open Play,Goal,86.5999984741211,46.400001525878906,True,Right Foot
ESP-La Liga,2526,2025-09-14 Barcelona-Valencia,Barcelona,Robert Lewandowski,4,2025,29194,2025-09-14 19:00:00,642633,148,227,738038,Marc Bernal,0.5099553465843201,0.884000015258789,0.5640000152587891,85,Right Foot,Open Play,Goal,88.4000015258789,56.400001525878906,True,Right Foot
ESP-La Liga,2526,2025-09-21 Barcelona-Getafe,Barcelona,Robert Lewandowski,4,2025,29199,2025-09-21 19:00:00,644002,148,227,739781,Pedri,0.6410817503929138,0.96,0.5520000076293945,27,Right Foot,Open Play,Missed Shot,96.0,55.20000076293945,False,Right Foot
ESP-La Liga,2526,2025-09-21 Barcelona-Getafe,Barcelona,Robert Lewandowski,4,2025,29199,2025-09-21 19:00:00,644004,148,227,739780,Dani Olmo,0.07240321487188339,0.850999984741211,0.34200000762939453,40,Right Foot,Open Play,Saved Shot,85.0999984741211,34.20000076293945,False,Right Foot
ESP-La Liga,2526,2025-09-25 Real Oviedo-Barcelona,Barcelona,Robert Lewandowski,4,2025,29213,2025-09-25 19:30:00,644326,148,227,740180,Frenkie de Jong,0.042561013251543045,0.899000015258789,0.45799999237060546,69,,Open Play,Goal,89.9000015258789,45.79999923706055,True,Head
ESP-La Liga,2526,2025-09-25 Real Oviedo-Barcelona,Barcelona,Robert Lewandowski,4,2025,29213,2025-09-25 19:30:00,644328,148,227,740176,Marcus Rashford,0.049765538424253464,0.9530000305175781,0.2670000076293945,77,Right Foot,Open Play,Saved Shot,95.30000305175781,26.700000762939453,False,Right Foot
ESP-La Liga,2526,2025-09-28 Barcelona-Real Sociedad,Barcelona,Robert Lewandowski,4,2025,29220,2025-09-28 16:30:00,645548,148,227,741673,Lamine Yamal,0.5610629320144653,0.9480000305175781,0.49900001525878906,58,,Open Play,Goal,94.80000305175781,49.900001525878906,True,Head
ESP-La Liga,2526,2025-09-28 Barcelona-Real Sociedad,Barcelona,Robert Lewandowski,4,2025,29220,2025-09-28 16:30:00,645549,148,227,741669,Dani Olmo,0.10992597043514252,0.85,0.505,59,Right Foot,Open Play,Missed Shot,85.0,50.5,False,Right Foot
ESP-La Liga,2526,2025-09-28 Barcelona-Real Sociedad,Barcelona,Robert Lewandowski,4,2025,29220,2025-09-28 16:30:00,645553,148,227,741669,Dani Olmo,0.12008477002382278,0.9769999694824218,0.6459999847412109,67,Left Foot,Open Play,Blocked Shot,97.69999694824219,64.5999984741211,False,Left Foot
ESP-La Liga,2526,2025-09-28 Barcelona-Real Sociedad,Barcelona,Robert Lewandowski,4,2025,29220,2025-09-28 16:30:00,645559,148,227,741670,Ferrán Torres,0.6307694315910339,0.919000015258789,0.515,83,Right Foot,Open Play,Shot On Post,91.9000015258789,51.5,False,Right Foot
ESP-La Liga,2526,2025-09-28 Barcelona-Real Sociedad,Barcelona,Robert Lewandowski,4,2025,29220,2025-09-28 16:30:00,645560,148,227,,,0.7057263851165771,0.9519999694824218,0.485,84,Right Foot,Open Play,Blocked Shot,95.19999694824219,48.5,False,Right Foot
ESP-La Liga,2526,2025-10-05 Sevilla-Barcelona,Barcelona,Robert Lewandowski,4,2025,29233,2025-10-05 14:15:00,646830,148,227,743261,Eric Garcia,0.03247298672795296,0.8640000152587891,0.3029999923706055,45,Right Foot,Open Play,Missed Shot,86.4000015258789,30.299999237060547,False,Right Foot
ESP-La Liga,2526,2025-10-05 Sevilla-Barcelona,Barcelona,Robert Lewandowski,4,2025,29233,2025-10-05 14:15:00,646827,148,227,743256,Dani Olmo,0.035021502524614334,0.85,0.6840000152587891,49,Left Foot,Open Play,Missed Shot,85.0,68.4000015258789,False,Left Foot
ESP-La Liga,2526,2025-10-05 Sevilla-Barcelona,Barcelona,Robert Lewandowski,4,2025,29233,2025-10-05 14:15:00,646836,148,227,743256,Dani Olmo,0.09485138207674026,0.8680000305175781,0.38,67,Right Foot,Open Play,Blocked Shot,86.80000305175781,38.0,False,Right Foot
ESP-La Liga,2526,2025-10-05 Sevilla-Barcelona,Barcelona,Robert Lewandowski,4,2025,29233,2025-10-05 14:15:00,646840,148,227,,,0.7432776093482971,0.885,0.5,75,Right Foot,,Missed Shot,88.5,50.0,False,Right Foot
ESP-La Liga,2526,2025-11-02 Barcelona-Elche,Barcelona,Robert Lewandowski,4,2025,29260,2025-11-02 17:30:00,651728,148,227,749396,Lamine Yamal,0.09214682877063751,0.9419999694824219,0.3170000076293945,85,Right Foot,Open Play,Blocked Shot,94.19999694824219,31.70000076293945,False,Right Foot
ESP-La Liga,2526,2025-11-09 Celta Vigo-Barcelona,Barcelona,Robert Lewandowski,4,2025,29274,2025-11-09 20:00:00,653177,148,227,,,0.029314657673239708,0.81,0.624000015258789,3,Right Foot,Set Piece,Saved Shot,81.0,62.4000015258789,False,Right Foot
ESP-La Liga,2526,2025-11-09 Celta Vigo-Barcelona,Barcelona,Robert Lewandowski,4,2025,29274,2025-11-09 20:00:00,653179,148,227,,,0.7432776093482971,0.885,0.5,9,Right Foot,,Goal,88.5,50.0,True,Right Foot
ESP-La Liga,2526,2025-11-09 Celta Vigo-Barcelona,Barcelona,Robert Lewandowski,4,2025,29274,2025-11-09 20:00:00,653186,148,227,,,0.4100992977619171,0.9640000152587891,0.40700000762939453,24,Right Foot,Open Play,Saved Shot,96.4000015258789,40.70000076293945,False,Right Foot
ESP-La Liga,2526,2025-11-09 Celta Vigo-Barcelona,Barcelona,Robert Lewandowski,4,2025,29274,2025-11-09 20:00:00,653190,148,227,751455,Marcus Rashford,0.565281093120575,0.950999984741211,0.5220000076293946,36,Right Foot,Open Play,Goal,95.0999984741211,52.20000076293946,True,Right Foot
ESP-La Liga,2526,2025-11-09 Celta Vigo-Barcelona,Barcelona,Robert Lewandowski,4,2025,29274,2025-11-09 20:00:00,653195,148,227,751450,Frenkie de Jong,0.10330212116241455,0.87,0.46099998474121096,66,Left Foot,Open Play,Blocked Shot,87.0,46.099998474121094,False,Left Foot
ESP-La Liga,2526,2025-11-09 Celta Vigo-Barcelona,Barcelona,Robert Lewandowski,4,2025,29274,2025-11-09 20:00:00,653198,148,227,751455,Marcus Rashford,0.07362050563097,0.9269999694824219,0.580999984741211,72,,From Corner,Goal,92.69999694824219,58.099998474121094,True,Head
ESP-La Liga,2526,2025-11-22 Barcelona-Athletic Club,Barcelona,Robert Lewandowski,4,2025,29284,2025-11-22 15:15:00,653701,148,227,,,0.062107909470796585,0.870999984741211,0.634000015258789,1,Left Foot,Open Play,Blocked Shot,87.0999984741211,63.4000015258789,False,Left Foot
ESP-La Liga,2526,2025-11-22 Barcelona-Athletic Club,Barcelona,Robert Lewandowski,4,2025,29284,2025-11-22 15:15:00,653702,148,227,,,0.05769011005759239,0.8690000152587891,0.6719999694824219,3,Left Foot,Open Play,Goal,86.9000015258789,67.19999694824219,True,Left Foot
ESP-La Liga,2526,2025-11-22 Barcelona-Athletic Club,Barcelona,Robert Lewandowski,4,2025,29284,2025-11-22 15:15:00,653717,148,227,,,0.11618737131357193,0.899000015258789,0.5659999847412109,47,Left Foot,Open Play,Blocked Shot,89.9000015258789,56.599998474121094,False,Left Foot
ESP-La Liga,2526,2025-11-29 Barcelona-Alaves,Barcelona,Robert Lewandowski,4,2025,29294,2025-11-29 15:15:00,655124,148,227,753728,Raphinha,0.09928816556930542,0.965999984741211,0.47,56,,From Corner,Saved Shot,96.5999984741211,47.0,False,Head
ESP-La Liga,2526,2025-11-29 Barcelona-Alaves,Barcelona,Robert Lewandowski,4,2025,29294,2025-11-29 15:15:00,655125,148,227,753727,Dani Olmo,0.011297440156340599,0.8809999847412109,0.37900001525878907,56,,From Corner,Saved Shot,88.0999984741211,37.900001525878906,False,Head
