team,source,target,avg_source_x,avg_source_y,avg_target_x,avg_target_y,pass_count,line_width
Athletic Club,Aitor Paredes,Alex Berenguer,69.6,19.0,74.4,2.9,1,0.0
Athletic Club,Aitor Paredes,Unai Gómez,38.4,41.3,62.9,43.7,2,0.0
Athletic Club,Aitor Paredes,Unai Núñez,30.1,46.0,35.5,27.5,2,0.0
Athletic Club,Aitor Paredes,Unai Simón,36.1,46.1,23.6,34.3,2,0.0
Athletic Club,Aitor Paredes,Yuri Berchiche,30.8,45.9,39.9,64.6,2,0.0
Athletic Club,Alex Berenguer,Beñat Prados,66.7,19.3,67.8,15.4,1,0.0
Athletic Club,Alex Berenguer,Maroan Sannadi,3.8,3.4,38.6,36.4,1,0.0
Athletic Club,Alex Berenguer,Oihan Sancet,90.3,3.8,78.5,25.2,1,0.0
Athletic Club,Alex Berenguer,Unai Núñez,73.6,55.1,68.7,30.3,1,0.0
Athletic Club,Alex Berenguer,Íñigo Ruíz de Galarreta,68.2,8.4,62.6,5.6,1,0.0
Athletic Club,Alex Berenguer,Óscar De Marcos,60.6,9.5,59.8,7.6,4,0.0
Athletic Club,Beñat Prados,Alex Berenguer,74.1,14.1,90.3,3.8,1,0.0
Athletic Club,Beñat Prados,Dani Vivian,44.8,30.9,30.5,31.2,2,0.0
Athletic Club,Beñat Prados,Maroan Sannadi,46.8,22.5,70.6,18.5,1,0.0
Athletic Club,Beñat Prados,Mikel Jauregizar,67.8,15.4,61.6,23.9,1,0.0
Athletic Club,Beñat Prados,Óscar De Marcos,66.6,15.0,71.1,4.4,1,0.0
Athletic Club,Dani Vivian,Maroan Sannadi,19.0,39.9,38.8,40.2,1,0.0
Athletic Club,Dani Vivian,Unai Simón,36.4,22.8,15.1,28.6,1,0.0
Athletic Club,Maroan Sannadi,Alex Berenguer,56.4,11.3,50.1,17.3,1,0.0
Athletic Club,Maroan Sannadi,Beñat Prados,69.1,20.9,62.7,13.8,1,0.0
Athletic Club,Maroan Sannadi,Mikel Jauregizar,70.6,18.5,64.0,25.4,1,0.0
Athletic Club,Maroan Sannadi,Oihan Sancet,70.1,25.2,73.8,38.1,1,0.0
Athletic Club,Maroan Sannadi,Íñigo Ruíz de Galarreta,72.9,15.6,66.2,12.6,1,0.0
Athletic Club,Maroan Sannadi,Óscar De Marcos,38.8,40.2,50.7,19.1,1,0.0
Athletic Club,Mikel Jauregizar,Aitor Paredes,50.9,44.0,38.3,43.9,2,0.0
Athletic Club,Mikel Jauregizar,Alex Berenguer,71.7,53.7,81.7,53.8,1,0.0
Athletic Club,Mikel Jauregizar,Nico Williams,51.0,50.1,75.8,53.9,2,0.0
Athletic Club,Mikel Jauregizar,Oihan Sancet,31.3,43.9,38.1,56.1,1,0.0
Athletic Club,Mikel Jauregizar,Unai Núñez,27.8,32.2,23.0,22.6,1,0.0
Athletic Club,Mikel Jauregizar,Yuri Berchiche,50.6,66.8,29.0,63.2,1,0.0
Athletic Club,Mikel Jauregizar,Íñigo Lekue,72.7,42.6,80.2,18.3,1,0.0
Athletic Club,Nico Williams,Aitor Paredes,46.8,60.7,30.9,50.7,2,0.0
Athletic Club,Nico Williams,Alex Berenguer,74.4,52.0,94.4,43.9,1,0.0
Athletic Club,Nico Williams,Maroan Sannadi,79.6,39.9,80.4,32.4,1,0.0
Athletic Club,Nico Williams,Mikel Jauregizar,63.5,63.9,54.9,48.0,2,0.0
Athletic Club,Nico Williams,Íñigo Ruíz de Galarreta,76.5,44.6,74.1,23.4,3,0.0
Athletic Club,Nico Williams,Óscar De Marcos,41.9,42.6,55.4,15.2,1,0.0
Athletic Club,Oihan Sancet,Beñat Prados,39.4,50.4,46.8,22.5,1,0.0
Athletic Club,Oihan Sancet,Maroan Sannadi,54.3,33.3,58.9,19.4,1,0.0
Athletic Club,Oihan Sancet,Mikel Jauregizar,73.8,38.1,71.7,53.7,1,0.0
Athletic Club,Oihan Sancet,Yuri Berchiche,38.1,56.1,31.9,61.6,1,0.0
Athletic Club,Oihan Sancet,Óscar De Marcos,78.5,25.2,67.7,24.6,1,0.0
Athletic Club,Unai Gómez,Alex Berenguer,36.9,27.2,32.4,13.4,1,0.0
Athletic Club,Unai Gómez,Mikel Jauregizar,57.6,45.7,60.7,51.8,3,0.0
Athletic Club,Unai Gómez,Unai Simón,52.5,34.0,24.0,32.8,1,0.0
Athletic Club,Unai Gómez,Yuri Berchiche,87.5,59.3,73.0,56.1,1,0.0
Athletic Club,Unai Gómez,Íñigo Ruíz de Galarreta,58.0,49.7,49.3,39.2,2,0.0
Athletic Club,Unai Núñez,Aitor Paredes,41.0,21.4,36.9,40.8,2,0.0
Athletic Club,Unai Núñez,Mikel Jauregizar,32.2,20.3,36.8,32.4,1,0.0
Athletic Club,Unai Núñez,Unai Simón,31.9,21.8,18.5,36.7,2,0.0
Athletic Club,Unai Núñez,Íñigo Ruíz de Galarreta,38.8,19.3,47.5,22.1,1,0.0
Athletic Club,Unai Núñez,Óscar De Marcos,31.4,25.9,36.8,7.6,3,0.0
Athletic Club,Unai Simón,Alex Berenguer,15.1,28.6,66.7,19.3,1,0.0
Athletic Club,Unai Simón,Maroan Sannadi,5.5,26.2,69.6,23.1,2,0.0
Athletic Club,Unai Simón,Mikel Jauregizar,15.8,38.7,29.6,38.0,2,0.0
Athletic Club,Unai Simón,Nico Williams,5.4,34.2,58.2,34.2,1,0.0
Athletic Club,Unai Simón,Yuri Berchiche,15.5,33.9,28.7,56.5,2,0.0
Athletic Club,Unai Simón,Íñigo Ruíz de Galarreta,20.1,32.6,55.8,22.5,1,0.0
Athletic Club,Unai Simón,Óscar De Marcos,17.2,34.8,40.6,2.4,2,0.0
Athletic Club,Yuri Berchiche,Aitor Paredes,46.7,53.5,43.3,37.0,3,0.0
Athletic Club,Yuri Berchiche,Beñat Prados,29.0,68.0,27.0,47.9,1,0.0
Athletic Club,Yuri Berchiche,Maroan Sannadi,48.3,68.0,41.1,51.3,1,0.0
Athletic Club,Yuri Berchiche,Mikel Jauregizar,25.2,60.9,29.7,54.1,1,0.0
Athletic Club,Yuri Berchiche,Nico Williams,51.0,58.9,59.5,53.7,3,0.0
Athletic Club,Yuri Berchiche,Oihan Sancet,49.0,52.4,61.6,42.7,2,0.0
Athletic Club,Yuri Berchiche,Unai Gómez,55.6,64.0,57.6,49.8,4,0.0
Athletic Club,Yuri Berchiche,Íñigo Ruíz de Galarreta,28.9,66.2,35.4,44.5,2,0.0
Athletic Club,Yuri Berchiche,Óscar De Marcos,57.6,46.3,95.8,3.7,1,0.0
Athletic Club,Íñigo Ruíz de Galarreta,Alex Berenguer,47.5,22.1,47.2,2.8,1,0.0
Athletic Club,Íñigo Ruíz de Galarreta,Maroan Sannadi,49.9,32.7,66.2,13.4,2,0.0
Athletic Club,Íñigo Ruíz de Galarreta,Mikel Jauregizar,24.3,52.4,35.0,60.5,1,0.0
Athletic Club,Íñigo Ruíz de Galarreta,Nico Williams,36.6,52.2,93.2,40.3,1,0.0
Athletic Club,Íñigo Ruíz de Galarreta,Unai Núñez,53.6,2.9,28.7,23.3,1,0.0
Athletic Club,Íñigo Ruíz de Galarreta,Unai Simón,27.2,42.4,7.1,33.5,1,0.0
Athletic Club,Íñigo Ruíz de Galarreta,Yuri Berchiche,62.6,5.6,63.5,47.3,1,0.0
Athletic Club,Íñigo Ruíz de Galarreta,Óscar De Marcos,72.7,20.9,75.8,8.6,3,0.0
Athletic Club,Óscar De Marcos,Alex Berenguer,81.1,0.0,85.3,4.4,1,0.0
Athletic Club,Óscar De Marcos,Dani Vivian,43.4,17.2,36.4,22.8,1,0.0
Athletic Club,Óscar De Marcos,Maroan Sannadi,38.7,2.3,60.7,9.9,2,0.0
Athletic Club,Óscar De Marcos,Mikel Jauregizar,61.5,8.8,71.9,30.5,2,0.0
Athletic Club,Óscar De Marcos,Unai Gómez,102.1,1.9,87.5,59.3,1,0.0
Athletic Club,Óscar De Marcos,Unai Núñez,43.2,13.1,33.2,19.9,3,0.0
Athletic Club,Óscar De Marcos,Yuri Berchiche,53.7,21.1,51.9,53.6,1,0.0
Athletic Club,Óscar De Marcos,Íñigo Ruíz de Galarreta,52.2,6.4,56.0,4.4,2,0.0
Barcelona,Alejandro Balde,Fermín López,48.2,59.6,53.1,58.5,9,2.0
Barcelona,Alejandro Balde,Gavi,69.0,60.5,66.3,46.3,3,0.0
Barcelona,Alejandro Balde,Iñaki Peña,21.5,59.3,7.1,36.9,2,0.0
Barcelona,Alejandro Balde,Lamine Yamal,63.8,48.1,64.8,40.1,2,0.0
Barcelona,Alejandro Balde,Pau Cubarsí,51.9,59.8,36.6,51.5,13,4.0
Barcelona,Alejandro Balde,Pedri,51.3,55.9,49.2,42.6,13,4.0
Barcelona,Alejandro Balde,Raphinha,54.2,60.9,61.3,62.5,10,4.0
Barcelona,Alejandro Balde,Robert Lewandowski,73.2,55.5,72.0,46.7,1,0.0
Barcelona,Alejandro Balde,Ronald Araújo,36.3,54.6,25.4,32.6,2,0.0
Barcelona,Andreas Christensen,Alejandro Balde,37.5,28.6,41.9,57.3,1,0.0
Barcelona,Andreas Christensen,Dani Olmo,33.5,18.7,47.2,30.9,1,0.0
Barcelona,Andreas Christensen,Eric García,32.6,23.2,35.3,7.3,4,0.0
Barcelona,Andreas Christensen,Frenkie de Jong,34.2,17.8,43.0,28.0,2,0.0
Barcelona,Andreas Christensen,Gavi,36.1,24.0,39.7,21.0,6,2.0
Barcelona,Andreas Christensen,Iñaki Peña,29.9,19.9,10.2,33.5,3,0.0
Barcelona,Andreas Christensen,Pedri,36.7,21.5,45.8,23.7,9,2.0
Barcelona,Dani Olmo,Alejandro Balde,31.7,26.2,81.2,50.2,1,0.0
Barcelona,Dani Olmo,Andreas Christensen,46.8,23.3,33.5,18.7,1,0.0
Barcelona,Dani Olmo,Eric García,44.0,3.8,43.5,11.9,1,0.0
Barcelona,Dani Olmo,Gavi,44.9,18.2,39.0,23.7,1,0.0
Barcelona,Dani Olmo,Lamine Yamal,46.0,12.1,48.6,5.4,2,0.0
Barcelona,Dani Olmo,Pedri,63.3,29.1,62.0,35.3,3,0.0
Barcelona,Dani Olmo,Robert Lewandowski,62.9,37.1,79.7,39.9,1,0.0
Barcelona,Eric García,Andreas Christensen,34.4,6.8,23.6,18.1,4,0.0
Barcelona,Eric García,Dani Olmo,48.6,10.8,55.0,10.1,2,0.0
Barcelona,Eric García,Fermín López,44.4,10.0,56.0,13.8,7,2.0
Barcelona,Eric García,Frenkie de Jong,43.5,11.9,46.8,31.1,1,0.0
Barcelona,Eric García,Gavi,35.6,8.8,36.4,17.8,14,4.0
Barcelona,Eric García,Iñaki Peña,30.7,10.9,15.6,24.5,3,0.0
Barcelona,Eric García,Lamine Yamal,55.8,9.9,64.3,8.3,9,2.0
Barcelona,Eric García,Pau Cubarsí,58.1,0.0,47.6,38.3,1,0.0
Barcelona,Eric García,Pedri,42.1,7.6,43.2,23.6,10,4.0
Barcelona,Eric García,Raphinha,69.0,23.2,88.8,27.2,2,0.0
Barcelona,Eric García,Ronald Araújo,42.1,7.3,37.6,23.6,16,6.0
Barcelona,Fermín López,Alejandro Balde,61.3,49.6,59.3,55.1,3,0.0
Barcelona,Fermín López,Dani Olmo,66.9,54.2,67.9,39.4,3,0.0
Barcelona,Fermín López,Eric García,61.4,13.6,53.7,12.5,6,2.0
Barcelona,Fermín López,Fermín López,46.2,62.8,47.1,53.2,1,0.0
Barcelona,Fermín López,Gavi,40.7,32.9,37.4,34.0,4,0.0
Barcelona,Fermín López,Lamine Yamal,71.1,25.3,74.6,25.8,7,2.0
Barcelona,Fermín López,Pedri,66.6,46.6,62.4,43.2,7,2.0
Barcelona,Fermín López,Raphinha,39.8,57.8,61.1,56.5,2,0.0
Barcelona,Fermín López,Robert Lewandowski,36.5,28.3,44.1,24.0,1,0.0
Barcelona,Fermín López,Ronald Araújo,63.7,19.1,45.9,26.9,2,0.0
Barcelona,Frenkie de Jong,Andreas Christensen,40.5,37.2,30.7,27.6,3,0.0
Barcelona,Frenkie de Jong,Gavi,46.0,30.9,42.0,27.1,1,0.0
Barcelona,Frenkie de Jong,Gerard Martín,19.4,54.3,18.3,59.8,1,0.0
Barcelona,Frenkie de Jong,Pau Cubarsí,56.8,27.9,33.6,26.9,1,0.0
Barcelona,Gavi,Alejandro Balde,44.6,43.0,49.9,59.5,6,2.0
Barcelona,Gavi,Andreas Christensen,45.9,19.7,41.9,21.6,8,2.0
Barcelona,Gavi,Dani Olmo,32.9,25.8,50.5,16.3,2,0.0
Barcelona,Gavi,Eric García,43.1,20.2,42.0,10.1,9,2.0
Barcelona,Gavi,Fermín López,55.1,40.0,55.5,38.3,2,0.0
Barcelona,Gavi,Frenkie de Jong,52.8,27.0,58.3,38.4,1,0.0
Barcelona,Gavi,Gavi,63.0,6.5,47.8,6.5,1,0.0
Barcelona,Gavi,Iñaki Peña,30.5,22.6,11.2,35.7,3,0.0
Barcelona,Gavi,Lamine Yamal,54.8,18.5,61.1,16.5,2,0.0
Barcelona,Gavi,Pau Cubarsí,48.6,47.1,41.9,43.6,5,2.0
Barcelona,Gavi,Pedri,42.9,29.3,47.7,31.2,16,6.0
Barcelona,Gavi,Raphinha,93.2,63.4,91.6,65.1,1,0.0
Barcelona,Gavi,Ronald Araújo,45.8,26.7,39.4,22.7,17,6.0
Barcelona,Gerard Martín,Frenkie de Jong,19.4,61.5,23.6,58.0,2,0.0
Barcelona,Iñaki Peña,Alejandro Balde,9.0,40.2,32.0,58.5,1,0.0
Barcelona,Iñaki Peña,Andreas Christensen,8.3,35.2,23.3,22.1,4,0.0
Barcelona,Iñaki Peña,Dani Olmo,13.6,24.5,34.1,17.5,2,0.0
Barcelona,Iñaki Peña,Eric García,7.9,30.4,26.0,12.1,2,0.0
Barcelona,Iñaki Peña,Fermín López,14.2,28.8,60.0,19.4,1,0.0
Barcelona,Iñaki Peña,Frenkie de Jong,10.2,30.5,34.1,45.1,1,0.0
Barcelona,Iñaki Peña,Gavi,12.8,39.9,35.3,19.5,1,0.0
Barcelona,Iñaki Peña,Pau Cubarsí,13.2,36.0,21.6,50.2,9,2.0
Barcelona,Iñaki Peña,Pedri,13.1,34.3,25.4,33.8,5,2.0
Barcelona,Iñaki Peña,Ronald Araújo,12.2,35.6,29.7,23.7,13,4.0
Barcelona,Lamine Yamal,Alejandro Balde,67.5,42.9,62.8,49.3,2,0.0
Barcelona,Lamine Yamal,Dani Olmo,41.5,3.7,46.8,23.3,1,0.0
Barcelona,Lamine Yamal,Eric García,60.1,7.5,53.8,8.6,11,4.0
Barcelona,Lamine Yamal,Fermín López,70.4,31.7,71.5,32.9,2,0.0
Barcelona,Lamine Yamal,Gavi,66.0,10.9,57.5,16.8,6,2.0
Barcelona,Lamine Yamal,Pedri,68.8,28.4,66.9,35.3,7,2.0
Barcelona,Lamine Yamal,Raphinha,47.9,17.4,92.0,60.0,1,0.0
Barcelona,Lamine Yamal,Robert Lewandowski,45.9,5.1,42.5,31.2,2,0.0
Barcelona,Lamine Yamal,Ronald Araújo,62.1,2.7,36.4,17.1,1,0.0
Barcelona,Pau Cubarsí,Alejandro Balde,27.7,52.5,38.5,61.3,6,2.0
Barcelona,Pau Cubarsí,Eric García,46.5,36.7,50.3,8.3,1,0.0
Barcelona,Pau Cubarsí,Fermín López,36.5,49.4,66.4,65.1,1,0.0
Barcelona,Pau Cubarsí,Gavi,38.4,47.5,43.0,38.7,13,4.0
Barcelona,Pau Cubarsí,Gerard Martín,13.8,55.8,20.6,63.2,1,0.0
Barcelona,Pau Cubarsí,Iñaki Peña,25.9,58.0,18.1,39.5,5,2.0
Barcelona,Pau Cubarsí,Pedri,27.3,49.9,39.5,42.2,7,2.0
Barcelona,Pau Cubarsí,Raphinha,44.0,49.1,48.0,62.8,1,0.0
Barcelona,Pau Cubarsí,Ronald Araújo,33.5,43.6,36.8,17.9,6,2.0
Barcelona,Pedri,Alejandro Balde,52.2,39.6,56.2,57.9,21,8.0
Barcelona,Pedri,Andreas Christensen,54.6,23.0,41.6,25.2,5,2.0
Barcelona,Pedri,Eric García,43.7,25.4,40.4,11.0,16,6.0
Barcelona,Pedri,Fermín López,50.6,35.6,63.2,34.8,11,4.0
Barcelona,Pedri,Gavi,51.0,35.7,48.7,26.9,17,6.0
Barcelona,Pedri,Iñaki Peña,30.1,21.9,11.0,33.4,2,0.0
Barcelona,Pedri,Lamine Yamal,64.7,30.0,65.1,18.2,8,2.0
Barcelona,Pedri,Pau Cubarsí,36.0,48.2,31.4,51.6,3,0.0
Barcelona,Pedri,Pedri,38.2,33.3,45.9,26.2,1,0.0
Barcelona,Pedri,Raphinha,39.1,38.1,54.5,43.2,5,2.0
Barcelona,Pedri,Robert Lewandowski,38.4,38.4,49.9,35.4,2,0.0
Barcelona,Pedri,Ronald Araújo,47.6,36.4,40.9,23.6,11,4.0
Barcelona,Raphinha,Alejandro Balde,59.2,61.7,50.6,59.8,8,2.0
Barcelona,Raphinha,Eric García,76.1,6.0,67.2,10.3,1,0.0
Barcelona,Raphinha,Gavi,49.2,49.3,44.7,46.2,2,0.0
Barcelona,Raphinha,Pau Cubarsí,55.1,58.4,42.1,50.3,3,0.0
Barcelona,Raphinha,Pedri,75.7,38.7,69.6,33.7,5,2.0
Barcelona,Robert Lewandowski,Dani Olmo,55.2,29.1,55.5,15.4,1,0.0
Barcelona,Robert Lewandowski,Pedri,62.1,40.8,58.9,40.5,2,0.0
Barcelona,Robert Lewandowski,Raphinha,44.1,24.0,41.6,63.0,1,0.0
Barcelona,Robert Lewandowski,Ronald Araújo,37.8,49.8,30.4,28.2,1,0.0
Barcelona,Ronald Araújo,Alejandro Balde,40.4,26.2,50.6,62.0,2,0.0
Barcelona,Ronald Araújo,Eric García,33.4,21.8,38.4,7.9,17,6.0
Barcelona,Ronald Araújo,Fermín López,37.8,22.7,51.7,24.6,2,0.0
Barcelona,Ronald Araújo,Gavi,36.5,24.0,42.6,30.0,12,4.0
Barcelona,Ronald Araújo,Iñaki Peña,32.7,26.5,15.4,32.5,5,2.0
Barcelona,Ronald Araújo,Lamine Yamal,36.6,24.8,55.2,8.8,3,0.0
Barcelona,Ronald Araújo,Pau Cubarsí,34.6,22.9,24.9,51.6,1,0.0
Barcelona,Ronald Araújo,Pedri,36.5,22.2,47.2,28.3,19,6.0
Barcelona,Ronald Araújo,Ronald Araújo,10.0,7.9,16.9,10.7,1,0.0
