team,zone_id,events_count,xthreat_total,possession_pct
Athletic Club,1,51,0.22246757346999999,9.026548672566372
Athletic Club,3,85,1.29842100088,15.04424778761062
Athletic Club,5,53,1.1026256943100001,9.380530973451327
Athletic Club,7,73,1.1281131423599997,12.920353982300886
Athletic Club,9,74,2.1108768697599998,13.097345132743362
Athletic Club,11,75,1.5163443421999998,13.274336283185843
Athletic Club,13,54,0.48155094328000014,9.557522123893806
Athletic Club,15,55,0.3483236325300001,9.734513274336283
Athletic Club,17,45,0.44743473999000005,7.964601769911504
Barcelona,1,152,1.2255834173799995,12.327656123276562
Barcelona,3,197,3.6826822302099993,15.97729115977291
Barcelona,5,92,2.0301157112999997,7.461476074614761
Barcelona,7,247,3.0563738636099997,20.03244120032441
Barcelona,9,232,10.596636241099999,18.815896188158963
Barcelona,11,143,4.916480333040002,11.597729115977291
Barcelona,13,47,0.50324774111,3.8118410381184105
Barcelona,15,54,0.6323736021599999,4.37956204379562
Barcelona,17,69,1.8214153643099988,5.59610705596107
