team,player,minute,x,y,xg,is_goal,event_type,body_part,outcome
Inter Miami CF,Tadeo Allende,3.0,84.8,33.8,0.025763479992747,,MissedShots,,Successful
Vancouver,Édier Ocampo,7.0,10.7,59.9,0.067194640636444,True,Goal,,Successful
Vancouver,Brian White,18.0,92.8,47.2,0.12034377455711,,MissedShots,Head,Successful
Inter Miami CF,Lionel Messi,24.0,74.8,68.8,0.035680659115314,,SavedShot,,Successful
Inter Miami CF,Lionel Messi,27.0,86.2,47.1,0.076791264116764,,SavedShot,,Successful
Vancouver,Brian White,32.0,91.7,51.9,0.083448305726051,,SavedShot,Head,Successful
Vancouver,Emmanuel Sabbi,37.0,95.4,41.8,0.25165271759033,,SavedShot,,Successful
Vancouver,Thomas Müller,40.0,88.8,51.3,0.035841152071953,,SavedShot,Head,Successful
Inter Miami CF,Sergio Busquets,46.0,90.9,43.6,0.033939868211746,,MissedShots,,Successful
Vancouver,Sebastian Berhalter,49.0,77.0,58.8,0.078145384788513,,MissedShots,,Successful
Inter Miami CF,Lionel Messi,55.0,86.5,44.6,0.077003508806229,,MissedShots,Head,Successful
Vancouver,Thomas Müller,57.0,80.7,52.1,0.051250152289867,,SavedShot,,Successful
Vancouver,Ali Ahmed,59.0,85.1,63.4,0.067194640636444,True,Goal,,Successful
Vancouver,Emmanuel Sabbi,61.0,85.0,54.8,0.23640862107277,,ShotOnPost,,Successful
Vancouver,Emmanuel Sabbi,61.0,98.6,55.9,0.23640862107277,,ShotOnPost,,Successful
Inter Miami CF,Rodrigo De Paul,70.0,89.8,37.9,0.42203733325005,True,Goal,,Successful
Vancouver,Emmanuel Sabbi,83.0,85.2,54.9,0.034009322524071,,MissedShots,,Successful
Inter Miami CF,Jordi Alba,84.0,51.8,64.8,0.010846146382391,,MissedShots,,Successful
Inter Miami CF,Tadeo Allende,95.0,85.5,47.6,0.46825894713402,True,Goal,,Successful
